,0
329,NOKEY
330,NOKEY
331,NOKEY
332,NOKEY
333,NOKEY
334,NOKEY
335,NOKEY
336,NOKEY
337,NOKEY
338,NOKEY
339,NOKEY
340,NOKEY
341,NOKEY
342,3
343,NOKEY
344,NOKEY
345,NOKEY
346,NOKEY
347,NOKEY
348,NOKEY
349,NOKEY
350,3
351,NOKEY
352,NOKEY
353,7
354,NOKEY
355,NOKEY
356,NOKEY
357,NOKEY
358,NOKEY
359,t
360,NOKEY
361,3
362,NOKEY
363,NOKEY
364,NOKEY
365,NOKEY
366,NOKEY
367,2
368,NOKEY
369,NOKEY
370,NOKEY
371,z
372,u
373,e
374,7
375,NOKEY
376,NOKEY
377,NOKEY
378,NOKEY
379,NOKEY
380,NOKEY
381,NOKEY
382,NOKEY
383,7
384,NOKEY
385,2
386,NOKEY
387,NOKEY
388,NOKEY
389,2
390,NOKEY
391,NOKEY
392,NOKEY
393,NOKEY
394,NOKEY
395,NOKEY
396,NOKEY
397,NOKEY
398,NOKEY
399,NOKEY
400,t
401,NOKEY
402,7
403,NOKEY
404,NOKEY
405,NOKEY
406,NOKEY
407,NOKEY
408,NOKEY
409,NOKEY
410,NOKEY
411,NOKEY
412,h
413,NOKEY
414,NOKEY
415,NOKEY
416,NOKEY
417,f
418,NOKEY
419,NOKEY
420,NOKEY
421,CTRL
422,NOKEY
423,NOKEY
424,NOKEY
425,NOKEY
426,NOKEY
427,NOKEY
428,NOKEY
429,a
430,NOKEY
431,NOKEY
432,h
433,NOKEY
434,NOKEY
435,NOKEY
436,f
437,NOKEY
438,NOKEY
439,NOKEY
440,NOKEY
441,NOKEY
442,NOKEY
443,NOKEY
444,NOKEY
445,NOKEY
446,NOKEY
447,NOKEY
448,NOKEY
449,NOKEY
450,NOKEY
451,NOKEY
452,NOKEY
453,3
454,NOKEY
455,NOKEY
456,NOKEY
457,NOKEY
458,NOKEY
459,NOKEY
460,NOKEY
461,NOKEY
462,NOKEY
463,NOKEY
464,0
465,NOKEY
466,NOKEY
467,NOKEY
468,NOKEY
469,NOKEY
470,NOKEY
471,NOKEY
472,NOKEY
473,a
474,NOKEY
475,NOKEY
476,NOKEY
477,NOKEY
478,NOKEY
479,NOKEY
480,NOKEY
481,NOKEY
482,a
483,NOKEY
484,NOKEY
485,NOKEY
486,NOKEY
487,NOKEY
488,7
489,NOKEY
490,h
491,NOKEY
492,NOKEY
493,NOKEY
494,NOKEY
495,NOKEY
496,NOKEY
497,NOKEY
498,NOKEY
499,3
500,NOKEY
501,NOKEY
502,NOKEY
503,NOKEY
504,NOKEY
505,NOKEY
506,NOKEY
507,NOKEY
508,NOKEY
509,NOKEY
510,NOKEY
511,NOKEY
512,NOKEY
513,7
514,NOKEY
515,NOKEY
516,NOKEY
517,NOKEY
518,NOKEY
519,NOKEY
520,NOKEY
521,NOKEY
522,NOKEY
523,NOKEY
524,NOKEY
525,p
526,NOKEY
527,NOKEY
528,3
529,NOKEY
530,NOKEY
531,a
532,NOKEY
533,u
534,NOKEY
535,NOKEY
536,NOKEY
537,NOKEY
538,NOKEY
539,NOKEY
540,NOKEY
541,NOKEY
542,NOKEY
543,NOKEY
544,NOKEY
545,NOKEY
546,NOKEY
547,2
548,NOKEY
549,NOKEY
550,3
551,NOKEY
552,NOKEY
553,NOKEY
554,NOKEY
555,NOKEY
556,NOKEY
557,NOKEY
558,NOKEY
559,e
560,3
561,h
562,3
563,NOKEY
564,NOKEY
565,3
566,NOKEY
567,NOKEY
568,NOKEY
569,NOKEY
570,NOKEY
571,NOKEY
572,NOKEY
573,NOKEY
574,NOKEY
575,NOKEY
576,NOKEY
577,7
578,m
579,NOKEY
580,NOKEY
581,NOKEY
582,NOKEY
583,7
584,NOKEY
585,NOKEY
586,NOKEY
587,NOKEY
588,NOKEY
589,NOKEY
590,3
591,NOKEY
592,r
593,NOKEY
594,NOKEY
595,CTRL
596,NOKEY
597,NOKEY
598,3
599,NOKEY
600,NOKEY
601,NOKEY
602,NOKEY
603,NOKEY
604,NOKEY
605,NOKEY
606,7
607,NOKEY
608,NOKEY
609,NOKEY
610,NOKEY
611,NOKEY
612,z
613,7
614,NOKEY
615,NOKEY
616,NOKEY
617,NOKEY
618,NOKEY
619,NOKEY
620,NOKEY
621,NOKEY
622,q
623,NOKEY
624,NOKEY
625,NOKEY
626,CTRL
627,NOKEY
628,NOKEY
629,NOKEY
630,NOKEY
631,7
632,NOKEY
633,NOKEY
634,NOKEY
635,NOKEY
636,7
637,CTRL
638,NOKEY
639,NOKEY
640,NOKEY
641,m
642,NOKEY
643,NOKEY
644,NOKEY
645,NOKEY
646,NOKEY
647,NOKEY
648,NOKEY
649,NOKEY
650,NOKEY
651,NOKEY
652,NOKEY
653,NOKEY
654,p
655,3
656,NOKEY
657,NOKEY
658,NOKEY
659,NOKEY
660,NOKEY
661,NOKEY
662,NOKEY
663,NOKEY
664,NOKEY
665,NOKEY
666,7
667,NOKEY
668,a
669,NOKEY
670,NOKEY
671,NOKEY
672,NOKEY
673,CTRL
674,NOKEY
675,NOKEY
676,NOKEY
677,3
678,NOKEY
679,NOKEY
680,NOKEY
681,NOKEY
682,NOKEY
683,NOKEY
684,NOKEY
685,NOKEY
686,NOKEY
687,NOKEY
688,NOKEY
689,NOKEY
690,NOKEY
691,m
692,NOKEY
693,NOKEY
694,NOKEY
695,NOKEY
696,NOKEY
697,NOKEY
698,NOKEY
699,NOKEY
700,e
701,NOKEY
702,NOKEY
703,NOKEY
704,NOKEY
705,NOKEY
706,m
707,NOKEY
708,2
709,7
710,NOKEY
711,NOKEY
712,NOKEY
713,7
714,NOKEY
715,7
716,NOKEY
717,NOKEY
718,NOKEY
719,NOKEY
720,NOKEY
721,NOKEY
722,NOKEY
723,NOKEY
724,NOKEY
725,NOKEY
726,NOKEY
727,NOKEY
728,NOKEY
729,NOKEY
730,e
731,NOKEY
732,NOKEY
733,NOKEY
734,NOKEY
735,NOKEY
736,NOKEY
737,NOKEY
738,3
739,NOKEY
740,NOKEY
741,NOKEY
742,NOKEY
743,NOKEY
744,NOKEY
745,NOKEY
746,NOKEY
747,u
748,h
749,NOKEY
750,NOKEY
751,7
752,NOKEY
753,CTRL
754,NOKEY
755,m
756,NOKEY
757,NOKEY
758,NOKEY
759,NOKEY
760,NOKEY
761,NOKEY
762,NOKEY
763,NOKEY
764,NOKEY
765,NOKEY
766,NOKEY
767,NOKEY
768,NOKEY
769,NOKEY
770,NOKEY
771,NOKEY
772,NOKEY
773,NOKEY
774,NOKEY
775,NOKEY
776,NOKEY
777,3
778,NOKEY
779,NOKEY
780,NOKEY
781,NOKEY
782,NOKEY
783,NOKEY
784,NOKEY
785,NOKEY
786,NOKEY
787,NOKEY
788,NOKEY
789,NOKEY
790,NOKEY
791,NOKEY
792,NOKEY
793,NOKEY
794,3
795,NOKEY
796,NOKEY
797,NOKEY
798,NOKEY
799,NOKEY
800,NOKEY
801,NOKEY
802,NOKEY
803,NOKEY
804,NOKEY
805,NOKEY
806,NOKEY
807,NOKEY
808,NOKEY
809,7
810,NOKEY
811,NOKEY
812,t
813,NOKEY
814,NOKEY
815,NOKEY
816,NOKEY
817,NOKEY
818,NOKEY
819,NOKEY
820,NOKEY
821,NOKEY
822,NOKEY
823,NOKEY
824,NOKEY
825,NOKEY
826,NOKEY
827,NOKEY
828,NOKEY
829,NOKEY
830,NOKEY
831,NOKEY
832,NOKEY
833,NOKEY
834,NOKEY
835,NOKEY
836,NOKEY
837,NOKEY
838,NOKEY
839,NOKEY
840,NOKEY
841,NOKEY
842,NOKEY
843,NOKEY
844,NOKEY
845,7
846,NOKEY
847,3
848,NOKEY
849,NOKEY
850,NOKEY
851,NOKEY
852,NOKEY
853,NOKEY
854,NOKEY
855,NOKEY
856,NOKEY
857,NOKEY
858,NOKEY
859,NOKEY
860,NOKEY
861,NOKEY
862,3
863,NOKEY
864,NOKEY
865,3
866,NOKEY
867,NOKEY
868,NOKEY
869,NOKEY
870,NOKEY
871,NOKEY
872,NOKEY
873,CTRL
874,NOKEY
875,NOKEY
876,NOKEY
877,NOKEY
878,NOKEY
879,NOKEY
880,NOKEY
881,3
882,NOKEY
883,3
884,NOKEY
885,NOKEY
886,NOKEY
887,NOKEY
888,NOKEY
889,NOKEY
890,NOKEY
891,NOKEY
892,NOKEY
893,NOKEY
894,NOKEY
895,NOKEY
896,NOKEY
897,NOKEY
898,NOKEY
899,NOKEY
900,NOKEY
901,3
902,NOKEY
903,NOKEY
904,NOKEY
905,NOKEY
906,NOKEY
907,NOKEY
908,NOKEY
909,NOKEY
910,NOKEY
911,NOKEY
912,NOKEY
913,NOKEY
914,NOKEY
915,NOKEY
916,3
917,NOKEY
918,NOKEY
919,NOKEY
920,NOKEY
921,NOKEY
922,NOKEY
923,NOKEY
924,NOKEY
925,NOKEY
926,NOKEY
927,NOKEY
928,NOKEY
929,CTRL
930,NOKEY
931,NOKEY
932,3
933,NOKEY
934,NOKEY
935,NOKEY
936,NOKEY
937,NOKEY
938,NOKEY
939,NOKEY
940,NOKEY
941,NOKEY
942,NOKEY
943,NOKEY
944,NOKEY
945,NOKEY
946,NOKEY
947,NOKEY
948,NOKEY
949,NOKEY
950,3
951,NOKEY
952,3
953,NOKEY
954,f
955,7
956,NOKEY
957,NOKEY
958,NOKEY
959,NOKEY
960,7
961,NOKEY
962,NOKEY
963,NOKEY
964,NOKEY
965,NOKEY
966,NOKEY
967,NOKEY
968,NOKEY
969,NOKEY
970,NOKEY
971,NOKEY
972,NOKEY
973,NOKEY
974,CTRL
975,NOKEY
976,NOKEY
977,z
978,NOKEY
979,NOKEY
980,NOKEY
981,NOKEY
982,NOKEY
983,NOKEY
984,NOKEY
985,3
986,NOKEY
987,NOKEY
988,NOKEY
989,NOKEY
990,NOKEY
991,NOKEY
992,NOKEY
993,NOKEY
994,NOKEY
995,NOKEY
996,NOKEY
997,NOKEY
998,NOKEY
999,NOKEY
1000,NOKEY
1001,NOKEY
1002,NOKEY
1003,NOKEY
1004,NOKEY
1005,NOKEY
1006,NOKEY
1007,NOKEY
1008,NOKEY
1009,3
1010,3
1011,NOKEY
1012,NOKEY
1013,NOKEY
1014,NOKEY
1015,NOKEY
1016,NOKEY
1017,NOKEY
1018,NOKEY
1019,NOKEY
1020,NOKEY
1021,NOKEY
1022,NOKEY
1023,NOKEY
1024,NOKEY
1025,NOKEY
1026,NOKEY
1027,NOKEY
1028,NOKEY
1029,7
1030,NOKEY
1031,NOKEY
1032,NOKEY
1033,NOKEY
1034,NOKEY
1035,NOKEY
1036,NOKEY
1037,NOKEY
1038,NOKEY
1039,NOKEY
1040,NOKEY
1041,NOKEY
1042,e
1043,CTRL
1044,NOKEY
1045,z
1046,NOKEY
1047,NOKEY
1048,NOKEY
1049,NOKEY
1050,NOKEY
1051,NOKEY
1052,h
1053,e
1054,NOKEY
1055,CTRL
1056,NOKEY
1057,r
1058,NOKEY
1059,NOKEY
1060,NOKEY
1061,NOKEY
1062,NOKEY
1063,NOKEY
1064,NOKEY
1065,NOKEY
1066,3
1067,NOKEY
1068,h
1069,NOKEY
1070,NOKEY
1071,NOKEY
1072,7
1073,2
1074,q
1075,NOKEY
1076,NOKEY
1077,NOKEY
1078,NOKEY
1079,NOKEY
1080,NOKEY
1081,NOKEY
1082,NOKEY
1083,NOKEY
1084,NOKEY
1085,NOKEY
1086,NOKEY
1087,NOKEY
1088,7
1089,NOKEY
1090,NOKEY
1091,NOKEY
1092,NOKEY
1093,NOKEY
1094,NOKEY
1095,z
1096,NOKEY
1097,NOKEY
1098,NOKEY
1099,3
1100,NOKEY
1101,NOKEY
1102,NOKEY
1103,NOKEY
1104,0
1105,NOKEY
1106,NOKEY
1107,3
1108,NOKEY
1109,NOKEY
1110,SHIFT
1111,NOKEY
1112,NOKEY
1113,2
1114,NOKEY
1115,NOKEY
1116,7
1117,NOKEY
1118,NOKEY
1119,NOKEY
1120,NOKEY
1121,NOKEY
1122,7
1123,NOKEY
1124,NOKEY
1125,NOKEY
1126,NOKEY
1127,NOKEY
1128,NOKEY
1129,NOKEY
1130,a
1131,7
1132,NOKEY
1133,NOKEY
1134,z
1135,NOKEY
1136,NOKEY
1137,NOKEY
1138,NOKEY
1139,NOKEY
1140,NOKEY
1141,NOKEY
1142,NOKEY
1143,a
1144,NOKEY
1145,NOKEY
1146,p
1147,NOKEY
1148,a
1149,NOKEY
1150,NOKEY
1151,NOKEY
1152,NOKEY
1153,NOKEY
1154,NOKEY
1155,NOKEY
1156,7
1157,NOKEY
1158,NOKEY
1159,NOKEY
1160,NOKEY
1161,NOKEY
1162,CTRL
1163,CTRL
1164,NOKEY
1165,NOKEY
1166,NOKEY
1167,NOKEY
1168,NOKEY
1169,NOKEY
1170,NOKEY
1171,NOKEY
1172,NOKEY
1173,NOKEY
1174,3
1175,NOKEY
1176,NOKEY
1177,NOKEY
1178,NOKEY
1179,NOKEY
1180,NOKEY
1181,NOKEY
1182,h
1183,t
1184,z
1185,NOKEY
1186,NOKEY
1187,7
1188,NOKEY
1189,NOKEY
1190,NOKEY
1191,NOKEY
1192,NOKEY
1193,NOKEY
1194,NOKEY
1195,NOKEY
1196,NOKEY
1197,NOKEY
1198,NOKEY
1199,NOKEY
1200,NOKEY
1201,NOKEY
1202,NOKEY
1203,NOKEY
1204,NOKEY
1205,NOKEY
1206,NOKEY
1207,NOKEY
1208,NOKEY
1209,NOKEY
1210,NOKEY
1211,NOKEY
1212,NOKEY
1213,NOKEY
1214,NOKEY
1215,NOKEY
1216,NOKEY
1217,3
1218,NOKEY
1219,NOKEY
1220,NOKEY
1221,2
1222,NOKEY
1223,NOKEY
1224,NOKEY
1225,3
1226,NOKEY
1227,NOKEY
1228,NOKEY
1229,NOKEY
1230,NOKEY
1231,CTRL
1232,NOKEY
1233,NOKEY
1234,NOKEY
1235,NOKEY
1236,NOKEY
1237,NOKEY
1238,NOKEY
1239,NOKEY
1240,NOKEY
1241,NOKEY
1242,NOKEY
1243,3
1244,NOKEY
1245,NOKEY
1246,NOKEY
1247,NOKEY
1248,NOKEY
1249,NOKEY
1250,NOKEY
1251,NOKEY
1252,NOKEY
1253,NOKEY
1254,NOKEY
1255,NOKEY
1256,3
1257,NOKEY
1258,3
1259,NOKEY
1260,NOKEY
1261,NOKEY
1262,CTRL
1263,NOKEY
1264,NOKEY
1265,NOKEY
1266,NOKEY
1267,NOKEY
1268,NOKEY
1269,NOKEY
1270,NOKEY
1271,NOKEY
1272,NOKEY
1273,NOKEY
1274,NOKEY
1275,7
1276,NOKEY
1277,NOKEY
1278,NOKEY
1279,NOKEY
1280,NOKEY
1281,NOKEY
1282,NOKEY
1283,NOKEY
1284,NOKEY
1285,NOKEY
1286,NOKEY
1287,CTRL
1288,NOKEY
1289,3
1290,NOKEY
1291,NOKEY
1292,NOKEY
1293,l
1294,NOKEY
1295,NOKEY
1296,CTRL
1297,NOKEY
1298,NOKEY
1299,NOKEY
1300,NOKEY
1301,NOKEY
1302,NOKEY
1303,NOKEY
1304,NOKEY
1305,NOKEY
1306,NOKEY
1307,NOKEY
1308,NOKEY
1309,NOKEY
1310,NOKEY
1311,NOKEY
1312,NOKEY
1313,h
1314,NOKEY
1315,l
1316,NOKEY
1317,NOKEY
1318,NOKEY
1319,NOKEY
1320,3
1321,NOKEY
1322,3
1323,NOKEY
1324,NOKEY
1325,NOKEY
1326,7
1327,NOKEY
1328,NOKEY
1329,NOKEY
1330,NOKEY
1331,NOKEY
1332,NOKEY
1333,NOKEY
1334,NOKEY
1335,NOKEY
1336,NOKEY
1337,NOKEY
1338,NOKEY
1339,NOKEY
1340,NOKEY
1341,NOKEY
1342,NOKEY
1343,NOKEY
1344,NOKEY
1345,k
1346,NOKEY
1347,3
1348,7
1349,NOKEY
1350,NOKEY
1351,NOKEY
1352,NOKEY
1353,NOKEY
1354,NOKEY
1355,NOKEY
1356,NOKEY
1357,NOKEY
1358,NOKEY
1359,e
1360,NOKEY
1361,NOKEY
1362,NOKEY
1363,NOKEY
1364,NOKEY
1365,NOKEY
1366,NOKEY
1367,NOKEY
1368,NOKEY
1369,NOKEY
1370,NOKEY
1371,7
1372,NOKEY
1373,NOKEY
1374,NOKEY
1375,NOKEY
1376,NOKEY
1377,NOKEY
1378,u
1379,NOKEY
1380,NOKEY
1381,3
1382,p
1383,NOKEY
1384,NOKEY
1385,NOKEY
1386,NOKEY
1387,NOKEY
1388,NOKEY
1389,NOKEY
1390,NOKEY
1391,NOKEY
1392,NOKEY
1393,NOKEY
1394,NOKEY
1395,NOKEY
1396,NOKEY
1397,NOKEY
1398,NOKEY
1399,NOKEY
1400,NOKEY
1401,NOKEY
1402,NOKEY
1403,NOKEY
1404,NOKEY
1405,3
1406,NOKEY
1407,NOKEY
1408,NOKEY
1409,NOKEY
1410,NOKEY
1411,NOKEY
1412,NOKEY
1413,NOKEY
1414,NOKEY
1415,NOKEY
1416,NOKEY
1417,NOKEY
1418,NOKEY
1419,r
1420,NOKEY
1421,NOKEY
1422,NOKEY
1423,3
1424,NOKEY
1425,h
1426,3
1427,NOKEY
1428,NOKEY
1429,NOKEY
1430,NOKEY
1431,NOKEY
1432,NOKEY
1433,NOKEY
1434,NOKEY
1435,NOKEY
1436,NOKEY
1437,CTRL
1438,NOKEY
1439,3
1440,NOKEY
1441,NOKEY
1442,NOKEY
1443,NOKEY
1444,NOKEY
1445,NOKEY
1446,NOKEY
1447,NOKEY
1448,NOKEY
1449,NOKEY
1450,7
1451,NOKEY
1452,NOKEY
1453,NOKEY
1454,NOKEY
1455,NOKEY
1456,NOKEY
1457,NOKEY
1458,NOKEY
1459,NOKEY
1460,NOKEY
1461,NOKEY
1462,NOKEY
1463,7
1464,NOKEY
1465,NOKEY
1466,NOKEY
1467,NOKEY
1468,NOKEY
1469,NOKEY
1470,CTRL
1471,NOKEY
1472,NOKEY
1473,NOKEY
1474,NOKEY
1475,NOKEY
1476,NOKEY
1477,NOKEY
1478,NOKEY
1479,NOKEY
1480,CTRL
1481,CTRL
1482,CTRL
1483,NOKEY
1484,CTRL
1485,CTRL
1486,CTRL
1487,CTRL
1488,3
1489,CTRL
1490,CTRL
1491,CTRL
1492,CTRL
1493,CTRL
1494,CTRL
1495,CTRL
1496,CTRL
1497,CTRL
1498,CTRL
1499,CTRL
1500,CTRL
1501,CTRL
1502,CTRL
1503,CTRL
1504,CTRL
1505,CTRL
1506,CTRL
1507,CTRL
1508,CTRL
1509,NOKEY
1510,CTRL
1511,3
1512,CTRL
1513,CTRL
1514,CTRL
1515,CTRL
1516,CTRL
1517,CTRL
1518,CTRL
1519,CTRL
1520,CTRL
1521,CTRL
1522,CTRL
1523,CTRL
1524,CTRL
1525,CTRL
1526,CTRL
1527,1
1528,CTRL
1529,CTRL
1530,CTRL
1531,CTRL
1532,1
1533,CTRL
1534,CTRL
1535,CTRL
1536,CTRL
1537,CTRL
1538,CTRL
1539,CTRL
1540,7
1541,CTRL
1542,CTRL
1543,CTRL
1544,CTRL
1545,CTRL
1546,3
1547,CTRL
1548,CTRL
1549,CTRL
1550,CTRL
1551,CTRL
1552,CTRL
1553,CTRL
1554,r
1555,CTRL
1556,CTRL
1557,CTRL
1558,CTRL
1559,CTRL
1560,CTRL
1561,CTRL
1562,CTRL
1563,CTRL
1564,CTRL
1565,CTRL
1566,NOKEY
1567,SHIFT
1568,3
1569,CTRL
1570,CTRL
1571,CTRL
1572,CTRL
1573,CTRL
1574,CTRL
1575,CTRL
1576,CTRL
1577,CTRL
1578,CTRL
1579,CTRL
1580,CTRL
1581,CTRL
1582,CTRL
1583,CTRL
1584,CTRL
1585,CTRL
1586,CTRL
1587,CTRL
1588,CTRL
1589,CTRL
1590,CTRL
1591,CTRL
1592,CTRL
1593,CTRL
1594,CTRL
1595,CTRL
1596,CTRL
1597,CTRL
1598,CTRL
1599,CTRL
1600,NOKEY
1601,CTRL
1602,CTRL
1603,CTRL
1604,CTRL
1605,CTRL
1606,CTRL
1607,CTRL
1608,CTRL
1609,CTRL
1610,CTRL
1611,CTRL
1612,CTRL
1613,CTRL
1614,CTRL
1615,CTRL
1616,CTRL
1617,CTRL
1618,0
1619,CTRL
1620,CTRL
1621,3
1622,CTRL
1623,CTRL
1624,CTRL
1625,CTRL
1626,CTRL
1627,CTRL
1628,CTRL
1629,CTRL
1630,CTRL
1631,CTRL
1632,CTRL
1633,CTRL
1634,CTRL
1635,CTRL
1636,CTRL
1637,SHIFT
1638,CTRL
1639,CTRL
1640,CTRL
1641,CTRL
1642,CTRL
1643,3
1644,1
1645,NOKEY
1646,3
1647,0
1648,CTRL
1649,CTRL
1650,NOKEY
1651,CTRL
1652,CTRL
1653,CTRL
1654,CTRL
1655,CTRL
1656,CTRL
1657,3
1658,CTRL
1659,CTRL
1660,CTRL
1661,CTRL
1662,CTRL
1663,CTRL
1664,CTRL
1665,CTRL
1666,CTRL
1667,CTRL
1668,CTRL
1669,CTRL
1670,CTRL
1671,CTRL
1672,CTRL
1673,CTRL
1674,CTRL
1675,CTRL
1676,CTRL
1677,CTRL
1678,CTRL
1679,CTRL
1680,CTRL
1681,CTRL
1682,CTRL
1683,CTRL
1684,CTRL
1685,SHIFT
1686,CTRL
1687,CTRL
1688,CTRL
1689,CTRL
1690,CTRL
1691,CTRL
1692,CTRL
1693,CTRL
1694,CTRL
1695,CTRL
1696,CTRL
1697,CTRL
1698,CTRL
1699,CTRL
1700,CTRL
1701,CTRL
1702,CTRL
1703,CTRL
1704,NOKEY
1705,CTRL
1706,CTRL
1707,CTRL
1708,CTRL
1709,CTRL
1710,NOKEY
1711,CTRL
1712,CTRL
1713,CTRL
1714,CTRL
1715,CTRL
1716,CTRL
1717,CTRL
1718,CTRL
1719,CTRL
1720,CTRL
1721,CTRL
1722,2
1723,NOKEY
1724,CTRL
1725,CTRL
1726,CTRL
1727,CTRL
1728,CTRL
1729,SHIFT
1730,CTRL
1731,CTRL
1732,CTRL
1733,NOKEY
1734,0
1735,CTRL
1736,CTRL
1737,CTRL
1738,1
1739,CTRL
1740,CTRL
1741,NOKEY
1742,CTRL
1743,CTRL
1744,CTRL
1745,CTRL
1746,CTRL
1747,CTRL
1748,CTRL
1749,1
1750,CTRL
1751,CTRL
1752,CTRL
1753,CTRL
1754,CTRL
1755,CTRL
1756,CTRL
1757,CTRL
1758,CTRL
1759,CTRL
1760,CTRL
1761,CTRL
1762,CTRL
1763,CTRL
1764,7
1765,CTRL
1766,CTRL
1767,CTRL
1768,CTRL
1769,3
1770,CTRL
1771,CTRL
1772,CTRL
1773,CTRL
1774,CTRL
1775,CTRL
1776,CTRL
1777,CTRL
1778,CTRL
1779,CTRL
1780,CTRL
1781,CTRL
1782,CTRL
1783,CTRL
1784,CTRL
1785,CTRL
1786,CTRL
1787,CTRL
1788,CTRL
1789,1
1790,CTRL
1791,CTRL
1792,CTRL
1793,7
1794,0
1795,CTRL
1796,CTRL
1797,CTRL
1798,CTRL
1799,CTRL
1800,CTRL
1801,CTRL
